"Onliner ID";Раздел;Производитель;Товар;Артикул;id-предложения;Цена;Валюта;"Описание предложения";Изготовитель;Импортер;"Сервисный центр";Гарантия;"Срок доставки по Минску";"Срок доставки по РБ";"Только для юр. лиц";"Наличие на складе";"В наличии на складе";"Срок рассрочки по Халве";"Onliner Prime";"Цена по промокоду";"Повышенная рассрочка Minipay";"Кредит на «Родныя тавары»"
4854252;Ноутбуки;Blackview;"AceBook 12-I512450H (серый)";BVAceBook12-I512450H;4854252001;0,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка по Минску и РБ и отличное обслуживание — все для приятных покупок";"Шэньчжэнь Цо. ЛТД. Китай, Улица Лунхуа Шэньчжэнь, 2-й этаж, офис Промышленная 3 ли Цзиньчэн Технология промышленного Парк-роуд.";"ТрайдексБелПлюс ООО 223016 Минская обл. Минский р-н Новодворский с/с, 33/1-8 к.64 р-н д. Большое Стиклево";"г.Минск, ул. Быховская, д. 35";12;3;4;нет;;нет;;нет;0,00;нет;нет
5120922;Ноутбуки;Ninkear;"N16 Pro 2026 24GB/1TB";NKN16prohn125241024;5120922001;0,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка по Минску и РБ и отличное обслуживание — все для приятных покупок";"Шэньчжэнь Нинкеар Текнолоджи Ко. Лтд. Комната 212, Зонгтай Фьюче Сити, №2007 Баоюань роуд, улица Сишианг, район Баоань, Шэньчжэнь, провинция Гуандун, Китай.";"ТрайдексБелПлюс ООО 223016 Минская обл. Минский р-н Новодворский с/с, 33/1-8 к.64 р-н д. Большое Стиклево";"г.Минск, ул. Быховская, д. 35";12;3;4;нет;;нет;;нет;0,00;нет;нет
4750259;"Женские и мужские сумки";Defender;"Lite 17"" (черный)";26089;4750259001;31,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка по Минску и РБ и отличное обслуживание — все для приятных покупок";"Шэньжень Лайт Стар Электроникс Технолоджи Компани, ЛТД. Китай, Ксингхонг Парк науки и технологий, Пхенгхуангганг, Пхест, Промзона, Ксиксианг, Заречье баоан, Дистрицт, Шэньчжэнь.";"ТрайдексБелПлюс ООО 223016 Минская обл. Минский р-н Новодворский с/с, 33/1-8 к.64 р-н д. Большое Стиклево";"г.Минск, ул. Быховская, д. 35";12;3;5;нет;;нет;;нет;0,00;нет;нет
4947448;Ноутбуки;MSI;"Modern 15 B7M-462XBY Win 11 Pro";;4947448001;1799,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка по Минску и РБ и отличное обслуживание — все для приятных покупок";"Микро-Стар Интернешнл Компани, ЛТД. Тайвань, Под № 69, Идного Ул., Чжунхэ Н., Новый Тайбэй 235.";"ТрайдексБелПлюс ООО 223016 Минская обл. Минский р-н Новодворский с/с, 33/1-8 к.64 р-н д. Большое Стиклево";"г.Минск, ул. Быховская, д. 35";12;1;2;нет;;нет;;нет;0,00;нет;нет
5094540;Ноутбуки;Ninkear;"A15 Plus 2025 16GB/1TB";;5094540001;1999,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка по Минску и РБ и отличное обслуживание — все для приятных покупок";"Шэньчжэнь Нинкеар Текнолоджи Ко. Лтд. Комната 212, Зонгтай Фьюче Сити, №2007 Баоюань роуд, улица Сишианг, район Баоань, Шэньчжэнь, провинция Гуандун, Китай.";"ТрайдексБелПлюс ООО 223016 Минская обл. Минский р-н Новодворский с/с, 33/1-8 к.64 р-н д. Большое Стиклево";"г.Минск, ул. Быховская, д. 35";12;3;4;нет;;нет;;нет;0,00;нет;нет
5039032;Ноутбуки;Ninkear;"S14 16GB/1TB";S14-Ryzen57535-16/1;5039032001;1899,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка по Минску и РБ и отличное обслуживание — все для приятных покупок";"Шэньчжэнь Нинкеар Текнолоджи Ко. Лтд. Комната 212, Зонгтай Фьюче Сити, №2007 Баоюань роуд, улица Сишианг, район Баоань, Шэньчжэнь, провинция Гуандун, Китай.";"ТрайдексБелПлюс ООО 223016 Минская обл. Минский р-н Новодворский с/с, 33/1-8 к.64 р-н д. Большое Стиклево";"г.Минск, ул. Быховская, д. 35";12;2;3;нет;;нет;;нет;0,00;нет;нет
4941856;"Варочные панели";Tuvio;HIS48FBB1;HIS48FBB1;4941856001;419,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка и отличное обслуживание — все для приятных покупок";"ООО ""Яндекс"". РФ, г. Москва, вн.тер.г. муниципальный округ Хамовники, ул. Льва Толстого, д. 16.";"ООО ""ТрайдексБелПлюс» 223053, Беларусь, Минская обл., Минск, Боровлянский с/с, 103/3-7, в районе д. Дроздово";"г. Минск, ул. Быховская. д. 35";12;1;2;нет;in_stock;да;;нет;0,00;нет;нет
4688746;"Игровые приставки";Nintendo;"Switch Lite Hyrule Edition";;4688746001;1299,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка и отличное обслуживание — все для приятных покупок";"Нинтендо оф Америка ИНК. США, Вашингтон";"ООО «АйТи Дистрибуция» Минский р-н, Боровлянский с/с, д. Дроздово, 103/3-7, пом. 7-50";"г.Минск ул.Быховская д.35";12;7;8;нет;;нет;;нет;1289,00;нет;нет
5120409;Экшен-камеры;Insta360;"X4 Air Starter Bundle (черный)";;5120409001;1899,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка и отличное обслуживание — все для приятных покупок";"Шенжен Араши Вижн Компани Лимитед. Рум А601,603,605,6/Ф, Буилдинг А,Логан Центуры Центре, 23 Хаиxиу Роад, Баоан Дистрицт, Шенжен, Гуангдонг, Китай.";"ООО «АйТи Дистрибуция» Минский р-н, Боровлянский с/с, д. Дроздово, 103/3-7, пом. 7-50";"г.Минск ул.Быховская д.35";12;7;8;нет;;нет;;нет;1889,00;нет;нет
5120482;Экшен-камеры;Insta360;"X4 Air Starter Bundle (белый)";;5120482001;2099,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка и отличное обслуживание — все для приятных покупок";"Шенжен Араши Вижн Компани Лимитед. Рум А601,603,605,6/Ф, Буилдинг А,Логан Центуры Центре, 23 Хаиxиу Роад, Баоан Дистрицт, Шенжен, Гуангдонг, Китай.";"ООО «АйТи Дистрибуция» Минский р-н, Боровлянский с/с, д. Дроздово, 103/3-7, пом. 7-50";"г.Минск ул.Быховская д.35";12;7;8;нет;;нет;;нет;2089,00;нет;нет
